Location name,Amount spent (CAD)
Alberta,33072
British Columbia,9150
Manitoba,3160
New Brunswick,1219
Newfoundland and Labrador,1128
Northwest Territories,220
Nova Scotia,1627
Nunavut,171
Ontario,25774
Prince Edward Island,290
Quebec,14079
Saskatchewan,2465
Unknown,≤100
Yukon,205
