Location name,Amount spent (USD)
Arua District,≤100
Bushenyi District,≤100
Busia District,≤100
Gulu District,≤100
Hoima District,≤100
Jinja District,≤100
Kampala District,≤100
Kapchorwa District,≤100
Kitgum District,≤100
Lira District,≤100
Luwero District,≤100
Masaka District,≤100
Mbale District,≤100
Mbarara District,≤100
Mityana District,≤100
Mpigi District,≤100
Mukono District,≤100
Nakasongola District,≤100
Ntungamo District,≤100
Rukungiri District,≤100
Soroti District,≤100
Tororo District,≤100
Wakiso District,≤100
