Location name,Amount spent (ARS)
Buenos Aires,656742
Catamarca,37460
Chaco,35875
Chubut,28452
Ciudad Autónoma de Buenos Aires,159380
Corrientes,17218
Córdoba,1399149
Entre Rios,16621
Formosa,13501
Jujuy,35998
La Pampa,64733
La Rioja,10883
Mendoza,22115
Misiones,22395
Neuquén,35921
Río Negro,41370
Salta,90109
San Juan,31820
San Luis,58228
Santa Cruz,4868
Santa Fe,250766
Santiago del Estero,8029
Tierra del Fuego,127863
Tucuman,44705
Unknown,≤100
