Location name,Amount spent (IDR)
Aceh,590176
Bali,2233651
Bangka–Belitung Islands,301100
Banten,3011456
Bengkulu,619173
Central Java,8164056
Central Kalimantan,787077
Central Sulawesi,559986
East Java,9702002
East Kalimantan,1500735
East Nusa Tenggara,1354729
Gorontalo,496845
Jakarta,5940211
Jambi,854007
Lampung,2410664
Maluku,456473
North Kalimantan,231752
North Maluku,366225
North Sulawesi,2013871
North Sumatra,5139097
Papua (province),784293
Riau,2202770
Riau Islands Province,614547
South Kalimantan,628625
South Sulawesi,2545765
South Sumatra,1751147
Southeast Sulawesi,787120
Special Region of Yogyakarta,1504493
Unknown,1451
West Java,8665339
West Kalimantan,1052782
West Nusa Tenggara,1353349
West Papua,250836
West Sulawesi,351922
West Sumatra,1106177
