Location name,Amount spent (SEK)
Blekinge County,3211
Dalarna County,6116
Gotland County,1758
Gävleborg County,5892
Halland County,6626
Jämtland County,2849
Jönköping County,7259
Kalmar County,5251
Kronoberg County,3605
Norrbotten County,4680
Skåne County,26250
Stockholm County,54985
Södermanland County,6207
Unknown,≤100
Uppsala County,7926
Värmland County,5773
Västerbotten County,5147
Västernorrland County,4841
Västmanland County,5361
Västra Götaland County,37109
Örebro County,6632
Östergötland County,9228
