Location name,Amount spent (IDR)
Aceh,1358092
Bali,2974994
Bangka–Belitung Islands,393843
Banten,2490656
Bengkulu,733851
Central Java,9608975
Central Kalimantan,838159
Central Sulawesi,1614406
East Java,11293242
East Kalimantan,1998731
East Nusa Tenggara,2623260
Gorontalo,864300
Jakarta,5847400
Jambi,1320733
Lampung,2558442
Maluku,396313
North Kalimantan,314872
North Maluku,335955
North Sulawesi,2708333
North Sumatra,5357425
Papua (province),591856
Riau,2339008
Riau Islands Province,841931
South Kalimantan,1049910
South Sulawesi,3974996
South Sumatra,2651992
Southeast Sulawesi,1419664
Special Region of Yogyakarta,1425308
Unknown,7450
West Java,13703019
West Kalimantan,3233469
West Nusa Tenggara,2539479
West Papua,278585
West Sulawesi,391774
West Sumatra,2382734
