Location name,Amount spent (DKK)
Capital Region of Denmark,36078
Central Denmark Region,15957
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,7045
Region of Southern Denmark,16445
Unknown,≤100
Zealand Region,9942
