Location name,Amount spent (EGP)
Al Sharqia Governorate,1214
Alexandria Governorate,574
Aswan Governorate,≤100
Asyut Governorate,305
Beheira Governorate,354
Beni Suef Governorate,189
Cairo Governorate,1995
Dakahlia Governorate,684
Damietta Governorate,333
Faiyum Governorate,203
Gharbia Governorate,532
Giza Governorate,554
Ismailia Governorate,151
Kafr el-Sheikh Governorate,383
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,255
Monufia Governorate,561
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,118
Qalyubia Governorate,580
Qena Governorate,164
Red Sea Governorate,≤100
Sohag Governorate,639
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
