Location name,Amount spent (SEK)
Blekinge County,11863
Dalarna County,22852
Gotland County,7229
Gävleborg County,22448
Halland County,24471
Jämtland County,10195
Jönköping County,25179
Kalmar County,16995
Kronoberg County,13092
Norrbotten County,19836
Skåne County,99505
Stockholm County,188294
Södermanland County,22189
Unknown,≤100
Uppsala County,30355
Värmland County,20824
Västerbotten County,20929
Västernorrland County,18470
Västmanland County,20036
Västra Götaland County,145603
Örebro County,22229
Östergötland County,32912
