Location name,Amount spent (CZK)
Central Bohemian Region,9259
Hradec Králové Region,3843
Karlovy Vary Region,1862
Liberec Region,3182
Moravian-Silesian Region,7707
Olomouc Region,3819
Pardubice Region,3251
Plzeň Region,4108
Prague,17595
South Bohemian Region,4077
South Moravian Region,9353
Unknown,≤100
Vysočina Region,3312
Zlín Region,3583
Ústí nad Labem Region,6221
