Location name,Amount spent (CAD)
Alberta,18315
British Columbia,18337
Manitoba,2728
New Brunswick,2271
Newfoundland and Labrador,942
Northwest Territories,104
Nova Scotia,2501
Nunavut,≤100
Ontario,42909
Prince Edward Island,326
Quebec,26300
Saskatchewan,3045
Unknown,≤100
Yukon,198
