Location name,Amount spent (EGP)
Al Sharqia Governorate,1501
Alexandria Governorate,1444
Aswan Governorate,209
Asyut Governorate,531
Beheira Governorate,785
Beni Suef Governorate,329
Cairo Governorate,5515
Dakahlia Governorate,2074
Damietta Governorate,373
Faiyum Governorate,322
Gharbia Governorate,1201
Giza Governorate,1425
Ismailia Governorate,252
Kafr el-Sheikh Governorate,704
Luxor Governorate,147
Matrouh Governorate,≤100
Minya Governorate,595
Monufia Governorate,1007
New Valley Governorate,≤100
North Sinai Governorate,127
Port Said Governorate,721
Qalyubia Governorate,1075
Qena Governorate,370
Red Sea Governorate,113
Sohag Governorate,574
South Sinai Governorate,≤100
Suez Governorate,172
Unknown,≤100
