Location name,Amount spent (HUF)
Baranya County,269993
Borsod-Abaúj-Zemplén County,355290
Budapest,1486946
Bács-Kiskun County,321168
Békés County,196962
Csongrád County,286396
Fejér County,277377
Győr-Moson-Sopron County,312326
Hajdú-Bihar County,310165
Heves County,180617
Jász-Nagykun-Szolnok County,221509
Komárom-Esztergom County,212218
Nógrád County,102124
Pest County,788919
Somogy County,175145
Szabolcs-Szatmár-Bereg County,291321
Tolna County,141460
Unknown,521
Vas County,168773
Veszprém County,211722
Zala County,184520
