Location name,Amount spent (RON)
Alba County,521
Arad County,679
Argeș County,1037
Bacău County,919
Bihor County,1057
Bistrița-Năsăud County,429
Botoșani County,590
Brașov County,2043
Brăila County,542
Bucharest,6642
Buzău County,665
Caraș-Severin County,375
Cluj County,1924
Constanța County,1269
Covasna County,369
Călărași County,407
Dolj County,873
Dâmbovița County,644
Galați County,734
Giurgiu County,321
Gorj County,497
Harghita County,463
Hunedoara County,730
Ialomița County,277
Iași County,2908
Ilfov County,1064
Maramureș County,960
Mehedinți County,306
Mureș County,875
Neamț County,714
Olt County,427
Prahova County,1547
Satu Mare County,408
Sibiu County,701
Suceava County,780
Sălaj County,645
Teleorman County,424
Timiș County,1427
Tulcea County,267
Unknown,≤100
Vaslui County,384
Vrancea County,459
Vâlcea County,494
