Location name,Amount spent (ZAR)
Eastern Cape,563
Free State,450
Gauteng,4060
KwaZulu-Natal,762
Limpopo,659
Mpumalanga,273
North West,219
Northern Cape,≤100
Unknown,≤100
Western Cape,2989
