Location name,Amount spent (LSL)
Berea District,≤100
Butha-Buthe District,≤100
Leribe District,≤100
Mafeteng District,≤100
Maseru District,≤100
Mohale's Hoek District,≤100
Thaba-Tseka District,≤100
