Location name,Amount spent (NZD)
Auckland Region,2014
Bay of Plenty Region,286
Canterbury,572
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,150
Manawatu-Wanganui,211
Marlborough Region,≤100
Nelson Province,≤100
Northland Region,151
Otago,209
Southland,≤100
Taranaki,110
Tasman District,≤100
Unknown,≤100
Waikato,409
Wellington Region,391
West Coast,≤100
