Location name,Amount spent (USD)
Al Anbar Governorate,134
Al-Qādisiyyah Governorate,≤100
Babil Governorate,132
Baghdad Governorate,524
Basra Governorate,110
Dhi Qar Governorate,128
Diyala Governorate,≤100
Dohuk Governorate,132
Erbil Governorate,344
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,162
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,190
Nineveh Governorate,208
Saladin Governorate,≤100
Sulaymaniyah Governorate,384
Unknown,≤100
Wasit Governorate,≤100
