Location name,Amount spent (NOK)
Akershus,3808
Aust-Agder,497
Buskerud,1210
Finnmark,527
Hedmark,745
Hordaland,3300
Møre og Romsdal,1184
Nord-Trøndelag,558
Nordland,1549
Oppland,763
Oslo,7864
Rogaland,2511
Sogn og Fjordane,432
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,1715
Telemark,1059
Troms,1196
Unknown,≤100
Vest-Agder,1303
Vestfold,1805
Østfold,1481
