Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
106658984378489,Gra Paczka,Stowarzyszenie WIOSNA,3481,28
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,1953,35
102931488739,Platforma Obywatelska,Platforma Obywatelska,1846,91
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,1611,213
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,1592,12
380485532115847,Ministerstwo Rodziny i Polityki Społecznej,Ministerstwo Rodziny i Polityki Społecznej,1554,1
294676812478,IKEA,These ads ran without a disclaimer,1495,1
57544755889,Amnesty International Polska,Amnesty International Polska,1369,29
349783468716743,Włodzimierz Tomaszewski Minister ds. Samorządu Terytorialnego Poseł na Sejm,Włodzimierz Tomaszewski Minister ds. Samorządu Terytorialnego Poseł na Sejm,1318,1
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,1153,11
101995462097618,Dajcie Żyć,Stowarzyszenie Kultury Chrześcijańskiej im. Ks. Piotra Skargi,930,1
111275624780972,Erase Indifference,Erase Indifference,873,8
1937461523203000,Fundacja Promocji Pojazdów Elektrycznych FPPE,Fundacja Promocji Pojazdów Elektrycznych,780,37
228168274881,wysokieobcasy,wysokieobcasy,701,2
144808095552639,ING Polska,ING Polska,626,3
182038191908977,Ministerstwo Cyfryzacji,Kancelaria Prezesa Rady Ministrów,591,6
1436380093288077,Park Dzieje,Stowarzyszenie Dzieje,566,15
339855706171439,Dobra Fabryka,Dobra Fabryka,543,2
117930759609640,Platforma Przemysłu Przyszłości,Fundacja Platforma Przemysłu Przyszłości,534,34
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,483,12
107750507339408,Bart Staszewski,Fundacja Basta,463,5
104442609633150,Lubuskie,Lubuskie,434,4
618179678235315,wschód,wschód,430,3
178362315106,European Parliament,European Parliament,417,4
256314858405394,Paweł Olszewski,Paweł Olszewski,399,5
228366267271894,Warsaw Enterprise Institute,Fundacja Warsaw Enterprise Institute,365,3
257593184447834,Władysław Kosiniak-Kamysz,Władysław Kosiniak-Kamysz,363,6
1227194230675141,Pratia,Pratia SA,350,9
163488137165461,E.ON Polska,E.ON Polska,348,12
653937168081792,PZU,Powszechny Zakład Ubezpieczeń Spółka Akcyjna (PZU SA),328,5
102811109411234,Do:łącz,Dołącz,327,16
164968446888637,Ministerstwo Sprawiedliwości,Ministerstwo Sprawiedliwości,322,1
513969188677442,Compassion Polska,Compassion Polska,319,11
371359310400318,Janusz Kowalski,Janusz Kowalski,317,13
514735281965536,Demagog,Stowarzyszenie Demagog,311,10
178415208919146,Suwerenna Polska,Solidarna Polska,308,4
340765409708087,Ryszard Madziar,Ryszard Madziar,294,12
648495745485275,Adrian Witczak - radny Tomaszowa Mazowieckiego,Adrian Witczak - radny Tomaszowa Mazowieckiego,285,2
136884656519145,IOM Poland,International Organization for Migration,274,2
108301418501661,Odszkodowania Za Represje 1944-1989,Odszkodowania Za Represje 1944-1989,271,2
1432065937006559,Polski Związek Tenisa Stołowego,Polski Związek Tenisa Stołowego,256,2
123910440019,Renew Europe,Renew Europe Group,252,1
107396187476330,LUX MED Stomatologia,"LUX MED Sp. z o.o.,",241,1
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,235,16
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,235,7
112648362119951,Państwowa Akademia Nauk Stosowanych w Nysie,These ads ran without a disclaimer,228,1
1589289514631651,Mariański Group Kancelaria Prawno-Podatkowa,Mariański Group Kancelaria Prawno-Podatkowa Sp.K.,219,6
398575110474591,Krzysztof Gadowski - Poseł na Sejm RP,Krzysztof Gadowski - Poseł na Sejm RP,217,1
276860619087002,Sylwester Tułajew,Sylwester Tułajew,216,3
110554885250920,Postawmy na młodzież,Stowarzyszenie Projekt Poznań,213,30
292640324174614,Hellozdrowie.pl,Redakcja Hello Zdrowie,205,4
1619161438342114,Krzysztof Tchórzewski,Krzysztof Tchórzewski,191,1
102759805294356,Dariusz Matecki - Radny Miasta Szczecin,Dariusz Matecki Radny Miasta Szczecin,188,4
578864425792499,Ośrodek Monitorowania Antypolonizmu,Fundacja Ośrodek Monitorowania Antypolonizmu,183,2
335107452998,"InPost - Paczkomat, Kurier","InPost - Paczkomat, Kurier",171,4
507678159314962,Wrocław Fashion Outlet,Wrocław Fashion Outlet,169,8
130220166122,Kupuj odpowiedzialnie,Kupuj odpowiedzialnie,167,2
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,167,2
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,166,7
395533923834784,PSL Mazowsze,Zarząd Wojewódzki Polskiego Stronnictwa Ludowego Województwa Mazowieckiego,165,16
207653439276138,Fundusze Europejskie dla Dolnego Śląska,Fundusze Europejskie dla Dolnego Śląska,163,4
515725191889934,Zmieniamy Łódzkie,Zmieniamy Łódzkie,162,3
104050691485416,Strefa Alergii,Strefa Alergii,161,3
371981706755861,Kierunek na EKO,OS3 Sp. z o. o.,161,3
163064650412661,Teatr Powszechny w Łodzi,Teatr Powszechny w Łodzi,155,6
475584852475176,Pozytron,POZYTRON Radiologia Medyczna,155,3
959387840744974,Bezpartyjni Samorządowcy,Bezpartyjni Samorządowcy,144,5
328956034420247,Marcin Pawlicki - Radny Miasta Szczecin,Marcin Pawlicki - Radny Miasta Szczecin,144,3
177473808919,Polskie Stronnictwo Ludowe,Polskie Stronnictwo Ludowe,142,4
107009549338936,Uniwersytet WSB Merito Chorzów  - wcześniej Wyższa Szkoła Bankowa,Uniwersytet WSB Merito Chorzów  - wcześniej Wyższa Szkoła Bankowa,139,2
203627442993022,Portal Oświatowy,Wiedza i Praktyka,137,2
147933852589411,Budżet Obywatelski Ustka,Budżet Obywatelski Ustka,136,1
174123027189,Instytut Spraw Publicznych,Fundacja Instytut Spraw Publicznych,135,3
312354455126,MINI,These ads ran without a disclaimer,135,2
514245432058229,Piotr Kandyba - Radny Sejmiku Województwa Mazowieckiego,Piotr Kandyba - Radny Sejmiku Województwa Mazowieckiego,133,50
194585893914848,Fundacja Rozwoju Demokracji Lokalnej,Fundacja Rozwoju Demokracji Lokalnej,131,3
1425264934431305,Polski Instytut Księgowości,Polski Instytut Księgowości,128,11
110876148028220,Izabela Bodnar,Izabela Bodnar,127,7
160341610647590,Łukasz Gibała,Kraków dla Mieszkańców,127,4
104061062331637,Pałac Saski,Pałac Saski Sp. z o.o.,127,7
989567757830453,WIEŚci z Mazowsza,Urząd Marszałkowski Województwa Mazowieckiego,125,1
105636040979969,Polska 2050,Polska 2050 Szymona Hołowni,124,1
658695000844495,Adam Andruszkiewicz,Adam Andruszkiewicz,124,2
145382618855042,Muzeum Sztuki w Łodzi,Muzeum Sztuki w Łodzi,123,1
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,118,5
1683534065241470,OKO.press,OKO.press,112,9
1181684038602267,Niepodległa,"BIURO PROGRAMU ""NIEPODLEGŁA""",110,6
2320275388297228,Marcin Romanowski,Marcin Romanowski,109,1
662892093824152,Fundacja Małych Stópek,Fundacja Małych Stópek,108,1
276474826293767,Olivia Garden,Olivia Garden,107,7
