Location name,Amount spent (CAD)
Alberta,3289
British Columbia,6434
Manitoba,884
New Brunswick,1027
Newfoundland and Labrador,711
Northwest Territories,149
Nova Scotia,1240
Nunavut,≤100
Ontario,15076
Prince Edward Island,149
Quebec,8663
Saskatchewan,1547
Unknown,≤100
Yukon,101
