Location name,Amount spent (AUD)
Australian Capital Territory,1147
Jervis Bay Territory,≤100
New South Wales,20696
Northern Territory,607
Queensland,16566
South Australia,4880
Tasmania,2407
Unknown,≤100
Victoria,20042
Western Australia,8718
