Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
1366892303449939,Partido Republicano,Partido Republicano,989873,24
115808554792561,Carlos Galleguillos Carvajal,Carlos Andres Galleguillos Carvajal,502624,26
113153381003177,Natalia Piergentili,Natalia Piergentili,340491,33
117971414554702,Juan Sutil,Juan Sutil Candidato,274288,51
28023147497,Partido Comunista de Chile,Partido Comunista de Chile,271906,1
628303047364442,Dr. Marco Antonio Núñez,Marco Antonio Nuñez,245166,32
100606052976302,Gloria Hutt,Gloria Hutt,203734,26
1396460303715065,Carozzi,Carozzi,185200,2
1059804450772270,Antonio Barchiesi,Antonio Barchiesi,180701,4
110833717337374,Carolina Navarrete Rubio,Carolina Navarrete Rubio,165748,10
116346351346835,Valeria Cárcamo Vidal,Valeria Angélica Cárcamo Vidal,163267,2
78239901502,Diario Financiero,Grupo DF,159340,32
418281855197789,Democracia Cristiana,Democracia Cristiana,155787,94
430339687135332,Sadi Melo,Sadi Melo,143907,12
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,141255,7
101761458511272,Jorge Insunza,Jorge Insunza,137144,70
580663538777736,Consejo Minero,Feedback Comunicaciones,113339,4
105560941738247,Movilizando Chilenos,Movilizando Chilenos,111776,8
112303492123355,Rodrigo Delgado,Christian Oviedo,110193,18
113525251672380,Republicanos ñuble,Republicanos del Ñuble,97862,12
105783868682878,Asistencia Tesorería,Asistencia Tesoreria,95357,8
105798328215264,Asistencia Familia,Asistencia Familia,85385,2
111831181812892,Raimundo J. Palamara Stewart,Raimundo J. Palamara Stewart,79767,3
104260521982245,Carlos González Herrera,Carlos González Herrera,76402,18
150331635097423,Servicio Electoral de Chile,Servicio Electoral de Chile,75254,3
1548643738480723,Asistencia Deudores,Asistencia Deudores,72998,10
114628888236450,Andrés Palma Irarrázaval,Andres Palma Irarrazaval,71548,5
102586276093037,Sergio Bitar,Sergio Bitar,70779,5
119515629892632,Eduardo Cretton,Eduardo Andrés Cretton Rebolledo,70315,3
103946825976962,Cristian San Martín abogado constituyente,Cristian Daniel San Martin Carrasco,69265,15
105091012517593,Bruno Baranda,Campaña Bruno Baranda,67699,3
13212504705,Jorge Ivan Ulloa Aguillon,Jorge Ivan Ulloa Aguillon,65446,8
1656604587945247,Viviana Nuñez Consejera Constitucional E-23,Viviana Nuñez,64013,9
110950955273185,Germán Becker Araucanía,GERMÁN ANTONIO BECKER ALVEAR,61436,12
101915952829830,María Pardo Vergara,María Pardo Vergara,60956,5
104782822559247,Jose Antonio Urrutia - Candidato Consejo Constitucional E-18,Agustin Orrego,59891,38
276529899590560,Federación Regionalista Verde Social,Federación Regionalista Verde Social,55414,6
173983195992422,Partido Por la Democracia - PPD,Partido Por la Democracia,53906,33
181208945236608,Patria Progresista,Patria Progresista,48113,3
201179280058809,CCU,CCU,47477,1
