Location name,Amount spent (USD)
Azuay Province,1862
Bolívar Province,157
Carchi Province,126
Cañar Province,331
Chimborazo Province,481
Cotopaxi Province,353
El Oro Province,1244
Esmeraldas Province,557
Galápagos Province,≤100
Guayas Province,5781
Imbabura Province,471
Loja Province,592
Los Ríos Province,1168
Manabí Province,2435
Morona-Santiago Province,187
Napo Province,112
Orellana Province,147
Pastaza Province,136
Pichincha Province,6969
Santa Elena Province,389
Santo Domingo de los Tsáchilas Province,2097
Sucumbíos Province,191
Tungurahua Province,851
Unknown,≤100
Zamora-Chinchipe Province,203
