Location name,Amount spent (RON)
Alba County,666
Arad County,1045
Argeș County,1156
Bacău County,1214
Bihor County,1191
Bistrița-Năsăud County,592
Botoșani County,739
Brașov County,1332
Brăila County,578
Bucharest,5730
Buzău County,827
Caraș-Severin County,562
Cluj County,2261
Constanța County,1525
Covasna County,472
Călărași County,582
Dolj County,1228
Dâmbovița County,962
Galați County,1006
Giurgiu County,374
Gorj County,741
Harghita County,792
Hunedoara County,917
Ialomița County,537
Iași County,1749
Ilfov County,921
Maramureș County,932
Mehedinți County,496
Mureș County,1210
Neamț County,874
Olt County,602
Prahova County,1557
Satu Mare County,707
Sibiu County,867
Suceava County,1181
Sălaj County,467
Teleorman County,536
Timiș County,1901
Tulcea County,394
Unknown,≤100
Vaslui County,604
Vrancea County,739
Vâlcea County,633
