Location name,Amount spent (PKR)
Azad Kashmir,627
Balochistan,1006
Federally Administered Tribal Areas,165
Gilgit-Baltistan,292
Islamabad Capital Territory,13495
Khyber Pakhtunkhwa,6553
Punjab,21620
Sindh,11018
Unknown,≤100
