Location name,Amount spent (EUR)
Alsace,570
Aquitaine,1366
Auvergne,372
Basse-Normandie,429
Bourgogne,457
Bretagne,1106
Centre,733
Champagne-Ardenne,395
Corse,118
Franche-Comté,306
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,811
Languedoc-Roussillon,1157
Limousin,202
Lorraine,657
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1002
New Caledonia,≤100
Nord-Pas-de-Calais,1541
Pays de la Loire,1689
Picardie,646
Poitou-Charentes,548
Provence-Alpes-Côte d'Azur,2385
Reunion Island,105
Rhône-Alpes,2182
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,4669
