Location name,Amount spent (EUR)
Alsace,445
Aquitaine,932
Auvergne,275
Basse-Normandie,300
Bourgogne,384
Bretagne,767
Centre,749
Champagne-Ardenne,282
Corse,≤100
Franche-Comté,226
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,633
Languedoc-Roussillon,851
Limousin,154
Lorraine,657
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,750
New Caledonia,≤100
Nord-Pas-de-Calais,1000
Pays de la Loire,843
Picardie,427
Poitou-Charentes,480
Provence-Alpes-Côte d'Azur,1598
Reunion Island,≤100
Rhône-Alpes,1608
Saint Pierre and Miquelon,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3152
