Location name,Amount spent (RON)
Alba County,137
Arad County,574
Argeș County,341
Bacău County,312
Bihor County,215
Bistrița-Năsăud County,143
Botoșani County,151
Brașov County,212
Brăila County,103
Bucharest,1067
Buzău County,131
Caraș-Severin County,157
Cluj County,341
Constanța County,299
Covasna County,≤100
Călărași County,≤100
Dolj County,302
Dâmbovița County,207
Galați County,210
Giurgiu County,≤100
Gorj County,119
Harghita County,155
Hunedoara County,210
Ialomița County,≤100
Iași County,293
Ilfov County,249
Maramureș County,268
Mehedinți County,≤100
Mureș County,250
Neamț County,220
Olt County,≤100
Prahova County,295
Satu Mare County,121
Sibiu County,157
Suceava County,752
Sălaj County,≤100
Teleorman County,111
Timiș County,319
Tulcea County,≤100
Unknown,≤100
Vaslui County,130
Vrancea County,155
Vâlcea County,156
