Location name,Amount spent (EUR)
Blagoevgrad Province,305
Burgas Province,392
Dobrich Province,153
Gabrovo Province,117
Haskovo Province,197
Kardzhali Province,162
Kyustendil Province,130
Lovech Province,142
Montana Province,134
Pazardzhik Province,223
Pernik Province,137
Pleven Province,216
Plovdiv Province,659
Razgrad Province,141
Ruse Province,185
Shumen Province,144
Silistra Province,106
Sliven Province,181
Smolyan Province,120
Sofia City Province,1234
Sofia Province,190
Stara Zagora Province,296
Targovishte Province,121
Unknown,≤100
Varna Province,419
Veliko Tarnovo Province,219
Vidin Province,123
Vratsa Province,209
Yambol Province,131
