Location name,Amount spent (IDR)
Aceh,673583
Bali,1262489
Bangka–Belitung Islands,266584
Banten,1789398
Bengkulu,622379
Central Java,7758038
Central Kalimantan,654563
Central Sulawesi,833679
East Java,10555934
East Kalimantan,1344948
East Nusa Tenggara,1783005
Gorontalo,515037
Jakarta,5225204
Jambi,830889
Lampung,1694726
Maluku,505005
North Kalimantan,213167
North Maluku,352424
North Sulawesi,1435425
North Sumatra,3152114
Papua (province),759142
Riau,1360912
Riau Islands Province,657296
South Kalimantan,913008
South Sulawesi,3327916
South Sumatra,1876968
Southeast Sulawesi,602900
Special Region of Yogyakarta,1455298
Unknown,3163
West Java,10962597
West Kalimantan,1459359
West Nusa Tenggara,1110826
West Papua,407593
West Sulawesi,236290
West Sumatra,918245
