Location name,Amount spent (GTQ)
Alta Verapaz Department,1754
Baja Verapaz Department,685
Chimaltenango Department,1204
Chiquimula Department,926
El Progreso Department,336
Escuintla Department,1967
Guatemala Department,23816
Huehuetenango Department,4108
Izabal Department,1577
Jalapa Department,504
Jutiapa Department,1157
Petén Department,1129
Quetzaltenango Department,6660
Quiché Department,1910
Retalhuleu Department,1162
Sacatepéquez Department,1744
San Marcos Department,7416
Santa Rosa Department,560
Sololá Department,1287
Suchitepéquez Department,1428
Totonicapán Department,1345
Unknown,≤100
Zacapa Department,569
