Location name,Amount spent (GTQ)
Alta Verapaz Department,935
Baja Verapaz Department,347
Chimaltenango Department,829
Chiquimula Department,565
El Progreso Department,296
Escuintla Department,1383
Guatemala Department,18304
Huehuetenango Department,1420
Izabal Department,906
Jalapa Department,437
Jutiapa Department,625
Petén Department,621
Quetzaltenango Department,1868
Quiché Department,1015
Retalhuleu Department,543
Sacatepéquez Department,893
San Marcos Department,3085
Santa Rosa Department,495
Sololá Department,611
Suchitepéquez Department,691
Totonicapán Department,512
Unknown,≤100
Zacapa Department,435
