Location name,Amount spent (THB)
Amnat Charoen,14894
Ang Thong,3962
Ayutthaya,19324
Bangkok,822700
Bueng Kan,4768
Buriram,20967
Chachoengsao,14557
Chai Nat,5303
Chaiyaphum,15677
Chanthaburi,30530
Chiang Mai,54225
Chiang Rai,25279
Chon Buri,94247
Chumphon,20835
Kalasin,10653
Kamphaeng Phet,8463
Kanchanaburi,22919
Khon Kaen,58928
Krabi,41984
Lampang,26155
Lamphun,12311
Loei,8689
Lop Buri,12386
Mae Hong Son,10960
Maha Sarakham,13393
Mukdahan,5720
Nakhon Nayok,10202
Nakhon Pathom,22537
Nakhon Phanom,9293
Nakhon Ratchasima,61376
Nakhon Sawan,13836
Nakhon Si Thammarat,56527
Nan,6261
Narathiwat,12169
Nong Bua Lam Phu,7842
Nong Khai,8374
Nonthaburi,36952
Pathum Thani,33276
Pattani,14905
Phangnga,8165
Phatthalung,29134
Phayao,8571
Phetchabun,18439
Phetchaburi,16097
Phichit,8398
Phitsanulok,66910
Phrae,6149
Phuket,99131
Prachin Buri,9656
Prachuap Khiri Khan,10237
Ranong,5436
Ratchaburi,18437
Rayong,30845
Roi Et,16285
Sa Kaeo,9569
Sakon Nakhon,17097
Samut Prakan,36715
Samut Sakhon,26155
Samut Songkhram,6294
Saraburi,18731
Satun,8742
Sing Buri,3070
Sisaket,15686
Songkhla,81662
Sukhothai,10405
Suphan Buri,14880
Surat Thani,67544
Surin,17024
Tak,10394
Trang,31993
Trat,6836
Ubon Ratchathani,28320
Udon Thani,25986
Unknown,351
Uthai Thani,3893
Uttaradit,5585
Yala Province,11755
Yasothon,10721
