Page ID,Page name,Disclaimer,Amount spent (PKR),Number of ads in Library
110196941769209,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶,49650,47
111378401865271,Jawad Sohrab Malik,Rehma Chaudhary,10379,1
565225540184937,CGTN,These ads ran without a disclaimer,8226,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,4822,1
388501561700814,Ch Tariq Irshad,Ch Tariq Irshad,2886,4
105673728468946,Ahmer Rasheed Bhatti,Ahmer Rasheed Bhatti,1551,1
113223601404356,CH Imran Saleemi Official,Ahsan Ur Rehman,1478,3
105690462092880,MM News,M M DIGITAL (PRIVATE) LIMITED,1237,2
1746123549046896,CH Ali Asghar Bhullah-PP137,These ads ran without a disclaimer,1135,1
103075692767998,Haseeb Amjad,Haseeb Amjad,1035,1
252434368713670,Humayun Akhtar Khan,Humayun Akhtar Khan,1029,1
117570394575101,Rai Waqas Aslam Kharal,Rai Waqas Aslam Kharal,1000,2
1814850698741724,Senator Mohsin Aziz,Senator Mohsin Aziz,977,1
101206152972905,Voice of PP 60,M Aniq Hassan Randhawa,883,2
1663305917241505,Khalil Ahmad Bajwa,Khalil Ahmad Bajwa,857,2
104901805715054,Syeda Rubina Zahra Gardezi,Syeda Rubina Zahra Gardezi,785,3
122578684096711,Usman Ahmad Bhatti,Haider Munir,768,2
101080725159933,Allama Shabbir Hasan Maisami,Allama Shabbir Hasan Maisami,768,3
115445627811504,Muhammad Kashif Mairaj,Muhammad Kashif Mairaj,745,1
977981842265214,Pukaar,Pukaar,658,1
111791888503468,Hafiz Shahid Ghug,Hamza Sharif,630,1
102974061428721,Apni Party Pakistan,These ads ran without a disclaimer,626,1
104008791697323,Karachi Insider,Karachi Insider,577,1
191595745007902,Sikh Heritage Symphony,These ads ran without a disclaimer,567,1
304781399652673,Jamshed Iqbal Cheema,Jamshed Iqbal Cheema,536,1
330546873795572,Mehar Muhammad Saleem,Mehar Muhammad Saleem,525,2
148143495361532,Hafiz Farhat Abbas,Hafiz Farhat Abbas,520,1
108727162154282,Azhar Iqbal,Azhar Iqbal,519,1
234578749895304,Relief Foundation International,Relief Foundation International,516,1
1114193285282308,Abdullah Khan Dummer,Abdullah Khan Dummer,416,1
104653912628214,Mian Abdul Sattar Bega,Mian Abdul Sattar Baiga,315,1
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,284,1
120062273237634,Jaanlo,Jaanlo,264,1
2060049387610062,WARIS KHAN NA19 Swabi,WARIS KHAN NA19 Swabi,128,1
430258463820053,International School of Ministry with Pastor Chris,These ads ran without a disclaimer,≤100,1
108457230808693,Hitachi Cooling & Heating MEA,These ads ran without a disclaimer,≤100,1
100912541413695,Más Impulso,These ads ran without a disclaimer,≤100,3
102108529114085,Sher Azam Khan,Naveed Khan,≤100,1
1589154051350606,FOZ - Friends of Zion Museum,These ads ran without a disclaimer,≤100,1
187766727949541,Deportivo Alavés,These ads ran without a disclaimer,≤100,6
123230587419937,ZZ-07,These ads ran without a disclaimer,≤100,1
