Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
23383061178,Prabowo Subianto,indonesia Adil makmur,20896727,9
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,10855811,112
102712985995817,Sobat Airlangga Hartarto,Sobat Airlangga Hartarto,5138901,88
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,4703077,9
105818752347206,Teman Airlangga Hartarto,Teman Airlangga Hartarto,4200259,55
102793242742002,Jaksapedia,JAKSAPEDIA,3643566,34
111580301790421,Cak Fauzi JATIM,Cak Fauzi Jatim,3068599,30
117935907895698,Tidak resmi: inilahcom,Inilahcom,2162163,5
101971245965029,Siap Kawal Polri,Kawal Polri,1861343,34
197545083607941,Harian Kompas,Harian Kompas,1086109,29
1165819730216749,Global Ehsan Relief Indonesia,Global Ehsan Relief Indonesia,1078525,8
522550394872544,"M Sarmuji, SE., MSi.",Muhammad Sarmuji,972440,1
102317908914727,Climate Justice Indonesia,Climate Justice Indonesia,846064,4
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,625936,24
104708079203574,Airlangga Hartarto 2024,Yayasan Infobox,554972,2
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,513854,9
217841272115804,Kabar Golkar,Yayasan Kabar Golkar,510531,24
103290336009963,Akbar Faizal Uncensored,Yayasan Infobox,510227,17
110090765246136,Yanti Airlangga,Yayasan Golkar Institute SPKP,509322,9
111864151754055,Esensi TV,Esensi Tv,506478,8
104549327891079,Dermawan,Frista Kurniasari,484572,1
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,395931,2
397612604060624,ilham mendrofa,ilham mendrofa,347748,3
104830667806476,Melihat Indonesia,Melihat Indonesia,329831,11
101403669397488,Nikmatul Sugiyarto,Juniar Dwi Harianto,328673,11
444318475704011,Yayasan Bangun Kecerdasan Bangsa,Yayasan Bangun Kecerdasan Bangsa,327089,36
39684526732,Wanda Hamidah,Yayasan Infobox,298960,1
112376825007045,Dewi Juliani 2024,Dewi Juliani 2024,285446,13
642603442612516,Muktar Efendi Harahap,Muktar efendi harahap,281241,12
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,258375,23
104427162506872,Fakta Anies,Fakta Anies,243785,5
107314345341621,Zakiyuddin Harahap,Zakiyuddin harahap,216681,12
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,204210,12
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,192326,18
104830667806476,Melihat Indonesia,Ganjar Nusantara Indonesia,167158,2
292939164731691,Relawan Herviano,Relawan Herviano,166164,7
1690573611256871,Pemerintah Kota Manado,Bryan Sumilat,162338,2
104217932476562,Ali Badrudin,Aditya Rachmat Pamungkas,159753,1
338740510222539,"Rohmat Marzuki, S.Hut - Sarjana Kehutanan Mbangun Deso",Rohmat Marzuki,143213,5
212811572075740,Pemerintah Kota Malang,Ayu Fitria Mandarasari,141388,2
225743208016201,Grace Anastasia PSI,Partai Solidaritas Indonesia,135874,1
102708602466860,Riau Dukung Ganjar,Ganjar Nusantara Indonesia,128550,1
172396623304957,Masjid Salman ITB,These ads ran without a disclaimer,127266,1
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,122928,12
101355948222111,Golkar Indonesia,Golkar Indonesia,121860,6
101284185918970,Rumah Kita Riau,Ganjar Nusantara Indonesia,120739,1
100385365121882,BerKAH Merakyat,Khairul Anhar Harahap,117587,1
102176125918052,Sahabat Jane,Sahabat Jane,116719,2
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,115132,10
109793991710079,Jane Natalia Suryanto,Jane Natalia Suryanto,113931,2
104297619044779,Halo Depok,Ganjar Nusantara Indonesia,110597,1
147555216186069,Christina Aryani,Christina Aryani Foundation,110263,1
109071325223743,Lamongan satu,Ganjar Nusantara Indonesia,106303,1
105831108888060,Pasuruan bersama,Ganjar Nusantara Indonesia,105802,1
104865885651439,Suara Bekasi,Ganjar Nusantara Indonesia,105438,1
100649018546817,GanjarFans,These ads ran without a disclaimer,105101,2
