Location name,Amount spent (MXN)
Aguascalientes,5278
Baja California,20868
Baja California Sur,4227
Campeche,17203
Chiapas,17221
Chihuahua,20022
Coahuila de Zaragoza,24477
Colima,9425
Distrito Federal,173765
Durango,5265
Guanajuato,36586
Guerrero,10276
Hidalgo,13626
Jalisco,88598
Michoacán de Ocampo,33565
Morelos,11656
Nayarit,11852
Nuevo León,89423
Oaxaca,10847
Puebla,22509
Querétaro Arteaga,24997
Quintana Roo,16392
San Luis Potosi,14573
Sinaloa,12219
Sonora,17301
State of Mexico,161725
Tabasco,12536
Tamaulipas,18497
Tlaxcala,4087
Unknown,≤100
Veracruz,31966
Yucatán,14829
Zacatecas,5173
