Location name,Amount spent (GTQ)
Alta Verapaz Department,≤100
Baja Verapaz Department,≤100
Chimaltenango Department,226
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,≤100
Guatemala Department,6518
Huehuetenango Department,113
Izabal Department,≤100
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,≤100
Quetzaltenango Department,782
Quiché Department,≤100
Retalhuleu Department,≤100
Sacatepéquez Department,224
San Marcos Department,238
Santa Rosa Department,≤100
Sololá Department,181
Suchitepéquez Department,≤100
Totonicapán Department,298
Unknown,≤100
Zacapa Department,≤100
