Location name,Amount spent (MXN)
Aguascalientes,8134
Baja California,16643
Baja California Sur,2382
Campeche,13175
Chiapas,9709
Chihuahua,26921
Coahuila de Zaragoza,28722
Colima,9833
Distrito Federal,53246
Durango,4050
Guanajuato,25549
Guerrero,5097
Hidalgo,8277
Jalisco,78898
Michoacán de Ocampo,13221
Morelos,10645
Nayarit,3551
Nuevo León,59274
Oaxaca,7810
Puebla,12210
Querétaro Arteaga,14769
Quintana Roo,15016
San Luis Potosi,11951
Sinaloa,10577
Sonora,8739
State of Mexico,174978
Tabasco,6648
Tamaulipas,25568
Tlaxcala,6791
Unknown,≤100
Veracruz,22224
Yucatán,12613
Zacatecas,2581
