Location name,Amount spent (PYG)
Alto Paraguay Department,10680
Alto Paraná Department,1064921
Amambay Department,272068
Asunción,1113826
Boquerón department,51973
Caaguazú Department,517474
Caazapá Department,158683
Canindeyú Department,94684
Central Department,3171811
Concepción Department (Paraguay),98442
Cordillera Department,182780
Guairá Department,112561
Itapúa Department,641646
Misiones Department,266338
Paraguarí Department,121641
Presidente Hayes Department,94571
San Pedro Department,139008
Unknown,232
Ñeembucú Department,90674
