Location name,Amount spent (AUD)
Australian Capital Territory,1087
Jervis Bay Territory,≤100
New South Wales,59096
Northern Territory,614
Queensland,11523
South Australia,5930
Tasmania,1168
Unknown,≤100
Victoria,12574
Western Australia,4916
