Location name,Amount spent (EGP)
Al Sharqia Governorate,1975
Alexandria Governorate,1090
Aswan Governorate,170
Asyut Governorate,357
Beheira Governorate,531
Beni Suef Governorate,240
Cairo Governorate,2996
Dakahlia Governorate,1078
Damietta Governorate,301
Faiyum Governorate,232
Gharbia Governorate,765
Giza Governorate,1004
Ismailia Governorate,375
Kafr el-Sheikh Governorate,424
Luxor Governorate,130
Matrouh Governorate,≤100
Minya Governorate,413
Monufia Governorate,588
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,145
Qalyubia Governorate,874
Qena Governorate,239
Red Sea Governorate,≤100
Sohag Governorate,367
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
