Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,516
Bicol Region,9646
Cagayan Valley,2123
Calabarzon,12870
Caraga,1247
Central Luzon,7277
Central Visayas,6057
Cordillera Administrative Region,1042
Davao Region,2876
Eastern Visayas,2805
Ilocos Region,4450
Metro Manila,18321
Mimaropa,2261
Northern Mindanao,3500
Soccsksargen,2098
Unknown,≤100
Western Visayas,5318
Zamboanga Peninsula,2134
