Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,1605,6
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,668,1
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),600,4
138816232821931,PNUD en Honduras,PNUD (Programa de las Naciones Unidas  para el Desarrollo),351,3
68793499001,UNICEF,UNICEF with Facebook Ad Credits,247,8
104599735671754,Goberna Honduras,Goberna Honduras,198,2
643513979193133,Unidos por Beatriz,Neuma,197,8
491553204198958,Revistazo.com,Revistazo.com,151,2
856012741442139,Ipas LAC,Astrid Leticia Aguilar Pinell,123,2
803587436436553,OCDIH,Lilian Guadalupe Gomez Dominguez,114,2
486382251906084,Honduras El Pais,Diario El  Pais.hn,≤100,2
227622537655549,CGTN en Español,These ads ran without a disclaimer,≤100,3
112529930493702,Democracia en Acción Hn,Voto Informado Honduras,≤100,1
104761175633861,Melmelada,These ads ran without a disclaimer,≤100,1
102199795319206,Pablo Marçal Oficial,These ads ran without a disclaimer,≤100,2
1587313088233587,Ideagen,These ads ran without a disclaimer,≤100,1
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100,4
106240044880482,Mind Facts,These ads ran without a disclaimer,≤100,1
1085228278277905,Apostle Joanne,These ads ran without a disclaimer,≤100,1
106115675410815,Strangealien,These ads ran without a disclaimer,≤100,2
380769619376624,Hablemos Lo Que Es,These ads ran without a disclaimer,≤100,2
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,4
