Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,499
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,120
Dohuk Governorate,145
Erbil Governorate,329
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,204
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,206
Saladin Governorate,≤100
Sulaymaniyah Governorate,325
Unknown,≤100
Wasit Governorate,≤100
