Location name,Amount spent (RON)
Alba County,575
Arad County,635
Argeș County,866
Bacău County,1086
Bihor County,906
Bistrița-Năsăud County,416
Botoșani County,545
Brașov County,2004
Brăila County,345
Bucharest,3454
Buzău County,506
Caraș-Severin County,350
Cluj County,2166
Constanța County,1374
Covasna County,681
Călărași County,320
Dolj County,812
Dâmbovița County,694
Galați County,637
Giurgiu County,281
Gorj County,405
Harghita County,1030
Hunedoara County,636
Ialomița County,361
Iași County,1332
Ilfov County,505
Maramureș County,742
Mehedinți County,470
Mureș County,1148
Neamț County,942
Olt County,410
Prahova County,1050
Satu Mare County,654
Sibiu County,512
Suceava County,1100
Sălaj County,419
Teleorman County,471
Timiș County,1119
Tulcea County,198
Unknown,≤100
Vaslui County,349
Vrancea County,919
Vâlcea County,401
