Location name,Amount spent (TRY)
Adana Province,3166
Adıyaman Province,312
Afyonkarahisar Province,3156
Aksaray Province,2189
Amasya Province,278
Ankara Province,21352
Antalya Province,5322
Ardahan Province,≤100
Artvin Province,129
Aydın Province,1168
Ağrı Province,253
Balıkesir Province,3776
Bartın Province,149
Batman Province,454
Bayburt Province,≤100
Bilecik Province,265
Bingöl Province,≤100
Bitlis Province,114
Bolu Province,337
Burdur Province,164
Bursa Province,2869
Denizli Province,1081
Diyarbakır Province,881
Düzce Province,1899
Edirne Province,541
Elazığ Province,281
Erzincan Province,130
Erzurum Province,531
Eskişehir Province,2696
Gaziantep Province,1753
Giresun Province,730
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,2216
Isparta Province,361
Istanbul Province,42497
Iğdır Province,≤100
Kahramanmaraş Province,802
Karabük Province,339
Karaman Province,593
Kars Province,148
Kastamonu Province,1794
Kayseri Province,1334
Kilis Province,150
Kocaeli Province,1042
Konya Province,3293
Kütahya Province,884
Kırklareli Province,187
Kırıkkale Province,5084
Kırşehir Province,412
Malatya Province,361
Manisa Province,1910
Mardin Province,388
Mersin Province,7799
Muğla Province,706
Muş Province,≤100
Nevşehir Province,471
Niğde Province,929
Ordu Province,693
Osmaniye Province,1815
Rize Province,309
Sakarya Province,714
Samsun Province,1354
Siirt Province,193
Sinop Province,955
Sivas Province,957
Tekirdağ Province,2919
Tokat Province,562
Trabzon Province,2558
Tunceli Province,≤100
Unknown,≤100
Uşak Province,4787
Van Province,297
Yalova Province,476
Yozgat Province,602
Zonguldak Province,1103
Çanakkale Province,2165
Çankırı Province,315
Çorum Province,584
İzmir Province,5088
Şanlıurfa Province,1612
Şırnak Province,323
