Location name,Amount spent (PYG)
Alto Paraguay Department,829
Alto Paraná Department,200902
Amambay Department,22203
Asunción,224555
Boquerón department,27130
Caaguazú Department,118542
Caazapá Department,36670
Canindeyú Department,33132
Central Department,346961
Concepción Department (Paraguay),23608
Cordillera Department,46528
Guairá Department,27449
Itapúa Department,73492
Misiones Department,15822
Paraguarí Department,28458
Presidente Hayes Department,10733
San Pedro Department,53630
Unknown,≤100
Ñeembucú Department,15783
