Location name,Amount spent (HUF)
Baranya County,130562
Borsod-Abaúj-Zemplén County,182112
Budapest,1001037
Bács-Kiskun County,156493
Békés County,109199
Csongrád County,169892
Fejér County,142667
Győr-Moson-Sopron County,164690
Hajdú-Bihar County,155448
Heves County,98457
Jász-Nagykun-Szolnok County,108748
Komárom-Esztergom County,99271
Nógrád County,54080
Pest County,363108
Somogy County,88210
Szabolcs-Szatmár-Bereg County,137060
Tolna County,72664
Unknown,≤100
Vas County,94621
Veszprém County,107865
Zala County,102055
