Location name,Amount spent (PYG)
Alto Paraguay Department,64627
Alto Paraná Department,6403952
Amambay Department,1040785
Asunción,7526755
Boquerón department,321315
Caaguazú Department,2626891
Caazapá Department,568716
Canindeyú Department,724826
Central Department,18414437
Concepción Department (Paraguay),1024383
Cordillera Department,1817476
Guairá Department,838580
Itapúa Department,3290872
Misiones Department,1279208
Paraguarí Department,831535
Presidente Hayes Department,591852
San Pedro Department,1026711
Unknown,5772
Ñeembucú Department,696374
