Location name,Amount spent (DKK)
Capital Region of Denmark,40434
Central Denmark Region,21264
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8378
Region of Southern Denmark,18924
Unknown,≤100
Zealand Region,12238
