Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
486980998032652,BJP Karnataka,Bharatiya Janata Party (BJP),174972,23
404746486258732,Project Nanhi Kali,Project Nanhi Kali,106948,40
330760810293224,HelpAge India,HelpAge India,54583,65
111527528465749,Rao Prem Singh,Rao Prem Singh,30137,26
109470364774303,Ellorum Nammudan,Ellorum Nammudan,25859,56
107395897271506,Kutumb,Swatantra Verma,25496,38
104516512296314,Kartikeya Sharma,Kartikeya Sharma,19147,27
270666596375251,Jhatkaa.org,Jhatkaa.org,18599,15
104878157547649,H Nagesh,Hk Ramesh,18385,14
102379519139483,जल जीवन मिशन महाराष्ट्र,जल जीवन मिशन महाराष्ट्र,17828,32
158304157570734,Mahindra Group,These ads ran without a disclaimer,16060,1
247698975430137,Basava Nadina Bhagiratha,Venkataramappa Ramesh,14302,9
102218576103904,Badlaav ki Aandhi Priyanka Gandhi,Badlaav Ki Aandhi Priyanka Gandhi,14047,32
104819985853284,V6 Digital News,V6 Digital News,14010,3
104211439033799,Jagane Kavali,Jagane Kavali,13476,32
113125761613615,Namma CM Bommai,Recro Media,12252,5
103782051383159,School of Politics,School of Politics,11249,19
100907784722781,QR 678,QR 678,10400,10
100549119644561,Jo Ram Ko Laye Hain Hum Unko Layenge 2024,Abinash Moharana,10133,2
107567748879463,Surendra Saraf,Surendra Saraf,10015,6
101284456085904,Team Jagananna,Team Jagananna,9776,2
108080828884036,Gehlot Phir Se,DesignBoxed,8301,22
200480966638039,Supremacy 1914,These ads ran without a disclaimer,7974,2
327120054405346,Jagananna ki Thoduga,Jagan Anna ki Thoduga,7201,39
574079826086251,Phir Ek Baar Modi Sarkar,phirekbaarmodisarkar.com,6540,26
107414168269023,Telangana Atma Gouravam,telanganaatmagouravam.com,6169,39
893137944102939,Maha Forest,Maha Forest,5905,3
640369399392914,Baijayant 'Jay' Panda,Baijayant Panda,5872,2
105509495777453,సాలు దొర సెలవు దొర,selavudora.com,5762,59
201297423396745,Rajendra Agarwal,Ishan Agarwal,5388,3
326102339565,Oxfam India,Oxfam India,5348,13
1235786446534273,Ajeet Patil Kavhekar,Rahul Rajendra Birajdar,5338,4
861477354024937,Darshan Puttannaiah,Darshan Puttannaiah,5116,4
1433526693616228,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,5082,5
170484126349815,Indian Cancer Society,Indian Cancer Society,5072,3
683396311762727,Manappa Vajjal,Manappa Vajjal,4956,1
105815225595031,मोदी साथे राजस्थान,modisaatherajasthan.com,4904,21
114233898263244,Indian Compass Videos,theindiancompass.com,4895,40
103370585969591,Baghel ka Bharosa,Baghel Ka Bharosa,4701,30
1987488401557504,Mahathugbandhan - महाठगबंधन,Mahathugbandhan - महाठगबंधन,4357,15
689941247806927,Dr. Murugesh R Nirani,Karnataka Social Media,4334,5
100593272504732,Brand Flex : Business Post & Festival Images,These ads ran without a disclaimer,4214,6
1571167366231304,Ramakant Bhargava,Saket Bhargava,4200,1
108102345201383,Pappu Gappu - पप्पू गप्पू,PappuGappu.com,4186,25
109076322510196,Saviour Education Abroad,Saviour Education Abroad OPC Pvt Ltd,4104,18
1327351450720146,Pradhan Mantri Bhartiya Janaushadhi Pariyojana,Pharmaceuticals & Medical Devices Bureau of India,4102,2
912096938897209,Vijay Singh,Vijay Singh,4000,24
181343795352360,M. B. Patil,Vishwanath Bs,3933,11
1598548487048992,Basavaraj Bommai,Avinash M V,3897,1
101730022772513,Dhananjaya Gangadharaiah,Dhananjaya Gangadharaiah,3747,4
449378495112356,Swades Foundation,Swades Foundation,3727,7
1762674497304794,R V Deshpande,R V Deshpande,3695,17
296002831234834,Swapnil Kothari,Swapnil Kothari,3612,1
1785302198354679,Dr. Somendra Tomar,Chirag Aggarwal,3563,17
1954072204870360,NEWJ,Anant Bhardwaj,3446,3
102584546049699,Kamal Nahin Kamalnath,Indirakalaalpurepanchsaal,3287,27
109986065209042,Mera Apna Rahul,MeraApnaRahul,3263,15
103812439247204,Keshava Rajanna B Fanpage,Abishek Nb,3221,15
100328978216424,"Fight Pollution, Not Plastics",Nitesh Singh,3161,14
100647446235574,Bhajpa Ki Bigdi Tigdi,Bhajpa Ki Bigdi Tigdi,3145,10
110115671863420,Kacche Din,Kacche Din,3078,12
746568209028564,Dr. Basu Eye Hospital,Dr. Basu Eye Hospital,3066,2
221256415973730,Ankuram IVF,Ankuram IVF,3051,4
108923581963430,Nirmamata,nirmamata.com,2944,22
285029500623,CARE India,CARE India,2918,21
155418314920954,Orchid HRD Trainings भाषणकला व राजकीय नेतृत्व कौशल्य प्रशिक्षण,Ganesh Subhashrao Lomte,2879,7
365136584238569,Shiv Deswal,Shiv Deswal,2878,11
189271178483352,Five Lotus Indo German,Five Lotus Indo German,2826,14
115408798095287,Mudra loan,These ads ran without a disclaimer,2819,2
105671775473178,Jan Suraaj,Jan Suraaj,2734,13
107271911924310,PO Shivakumar,Venkatesh Hari Krishna,2680,1
173132270075189,Dr. S Shivaraj Patil,Dr. S Shivaraj Patil,2654,2
248431212597208,MP बोले फिर भाजपा,mp2023.com,2645,12
109805501780466,Summer News Punjab,Summer News Punjab,2636,10
334992293683612,Dr. Pramod Sawant,Dr. Pramod Sawant,2600,1
428157337550611,ICMM,These ads ran without a disclaimer,2586,1
105209472211637,Voice of Andhra,Voice of Andhra,2574,8
100475508592062,Sitaram Poswal,Bhagatsingh,2542,1
102754365335887,Udhay Anna,Udhay Anna,2506,15
100593012792684,Keerthan Kumar,Keerthan Kumar,2427,2
615406458624175,Duroflex,Duroflex Pvt Ltd,2413,4
670321879700525,Swarajya,Swarajya,2412,1
119434281453609,ABB,Weber Shandwick,2390,2
797927846899300,Flag Foundation of India,Flag Foundation of India,2388,2
499412673595075,Mousam Bisen Harinkhere,Mousam Bisen Harinkhere,2375,9
116458781310492,Abhiram Singh,Abhiram Singh,2371,7
1455588374684644,V Muraleedharan Fans,V Muraleedharan Fans,2329,4
104736419210593,PACE INDIA,PACE - PET PACKAGING ASSOCIATION FOR CLEAN ENVIRONMENT,2320,5
805526169610318,Shubhashray Housing India,shubhashray housing india,2309,5
