Page ID,Page name,Disclaimer,Amount spent (QAR),Number of ads in Library
100466846248633,AI Mage,These ads ran without a disclaimer,≤100,3
104015742220554,Mimic,These ads ran without a disclaimer,≤100,1
109831251935707,المقداد خليل,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
107441672063262,MRS Universe Asia USA 2022,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
1039675682714205,스브스뉴스,These ads ran without a disclaimer,≤100,1
168998779791313,Republic by Omar Farooq,These ads ran without a disclaimer,≤100,1
130369030334301,KidsRights,These ads ran without a disclaimer,≤100,1
232723884078472,زهراءباقر�سفيرة الإيجابية,These ads ran without a disclaimer,≤100,1
