Location name,Amount spent (GTQ)
Alta Verapaz Department,287
Baja Verapaz Department,≤100
Chimaltenango Department,162
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,284
Guatemala Department,3225
Huehuetenango Department,357
Izabal Department,174
Jalapa Department,≤100
Jutiapa Department,140
Petén Department,115
Quetzaltenango Department,411
Quiché Department,204
Retalhuleu Department,120
Sacatepéquez Department,180
San Marcos Department,578
Santa Rosa Department,≤100
Sololá Department,108
Suchitepéquez Department,238
Totonicapán Department,≤100
Zacapa Department,≤100
