Location name,Amount spent (UYU)
Artigas Department,111
Canelones Department,1246
Cerro Largo Department,≤100
Colonia Department,146
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,≤100
Montevideo Department,7234
Paysandú Department,150
Rivera Department,142
Rocha Department,119
Río Negro Department,≤100
Salto Department,149
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
