Location name,Amount spent (EUR)
Alsace,978
Aquitaine,1692
Auvergne,521
Basse-Normandie,554
Bourgogne,665
Bretagne,1460
Centre,1091
Champagne-Ardenne,521
Corse,187
Franche-Comté,436
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,775
Languedoc-Roussillon,1479
Limousin,289
Lorraine,934
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1382
New Caledonia,≤100
Nord-Pas-de-Calais,1727
Pays de la Loire,1598
Picardie,717
Poitou-Charentes,764
Provence-Alpes-Côte d'Azur,3029
Reunion Island,≤100
Rhône-Alpes,3530
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,7512
