Location name,Amount spent (UYU)
Artigas Department,147
Canelones Department,1091
Cerro Largo Department,192
Colonia Department,429
Durazno Department,118
Flores Department,≤100
Florida Department,125
Lavalleja Department,107
Maldonado Department,458
Montevideo Department,4264
Paysandú Department,2245
Rivera Department,467
Rocha Department,140
Río Negro Department,130
Salto Department,567
San José Department,141
Soriano Department,143
Tacuarembó Department,148
Treinta y Tres Department,121
Unknown,≤100
