Location name,Amount spent (DKK)
Capital Region of Denmark,32373
Central Denmark Region,15249
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,6870
Region of Southern Denmark,13795
Unknown,≤100
Zealand Region,10659
