Location name,Amount spent (LBP)
Beirut Governorate,2410942
Beqaa Governorate,801367
Mount Lebanon Governorate,1441820
Nabatieh Governorate,354337
North Governorate,1196752
South Governorate,514341
Unknown,≤100
