Location name,Amount spent (PLN)
Greater Poland Voivodeship,3066
Kuyavian-Pomeranian Voivodeship,1504
Lesser Poland Voivodeship,3101
Lower Silesian Voivodeship,2243
Lublin Voivodeship,1228
Lubusz Voivodeship,673
Masovian Voivodeship,5170
Opole Voivodeship,561
Podkarpackie Voivodeship,1189
Podlaskie Voivodeship,735
Pomeranian Voivodeship,1884
Silesian Voivodeship,3191
Unknown,≤100
Warmian-Masurian Voivodeship,907
West Pomeranian Voivodeship,1513
Łódź Voivodeship,1760
Świętokrzyskie Voivodeship,767
