Location name,Amount spent (INR)
Andaman and Nicobar Islands,490
Andhra Pradesh,34763
Arunachal Pradesh,2661
Assam,20220
Bihar,55478
Chandigarh,2976
Chhattisgarh,51584
Dadra and Nagar Haveli,2059
Delhi,63864
Goa,3943
Gujarat,61762
Haryana,45636
Himachal Pradesh,15366
Jammu and Kashmir,9011
Jharkhand,17419
Karnataka,54069
Kerala,16515
Lakshadweep,≤100
Madhya Pradesh,93102
Maharashtra,168705
Manipur,768
Meghalaya,5448
Mizoram,3107
Nagaland,1134
Odisha,15657
Puducherry,3333
Punjab region,40140
Rajasthan,180778
Sikkim,1397
Tamil Nadu,96756
Telangana,100174
Tripura,2347
Unknown,130
Uttar Pradesh,122011
Uttarakhand,14212
West Bengal,53466
