Location name,Amount spent (USD)
Azuay Province,4187
Bolívar Province,264
Carchi Province,324
Cañar Province,868
Chimborazo Province,1543
Cotopaxi Province,1086
El Oro Province,4274
Esmeraldas Province,1265
Galápagos Province,177
Guayas Province,12384
Imbabura Province,1469
Loja Province,1141
Los Ríos Province,3423
Manabí Province,5113
Morona-Santiago Province,362
Napo Province,225
Orellana Province,405
Pastaza Province,295
Pichincha Province,7360
Santa Elena Province,1316
Santo Domingo de los Tsáchilas Province,2875
Sucumbíos Province,770
Tungurahua Province,1276
Unknown,≤100
Zamora-Chinchipe Province,265
