Location name,Amount spent (SEK)
Blekinge County,4394
Dalarna County,9281
Gotland County,2266
Gävleborg County,9116
Halland County,8570
Jämtland County,4551
Jönköping County,9976
Kalmar County,6766
Kronoberg County,5036
Norrbotten County,8620
Skåne County,41237
Stockholm County,80030
Södermanland County,8827
Unknown,≤100
Uppsala County,12016
Värmland County,8220
Västerbotten County,9628
Västernorrland County,8024
Västmanland County,7552
Västra Götaland County,50720
Örebro County,8855
Östergötland County,12294
