Location name,Amount spent (RON)
Alba County,603
Arad County,824
Argeș County,999
Bacău County,869
Bihor County,784
Bistrița-Năsăud County,531
Botoșani County,797
Brașov County,1105
Brăila County,458
Bucharest,4502
Buzău County,747
Caraș-Severin County,386
Cluj County,1190
Constanța County,1246
Covasna County,295
Călărași County,411
Dolj County,952
Dâmbovița County,629
Galați County,909
Giurgiu County,241
Gorj County,622
Harghita County,516
Hunedoara County,581
Ialomița County,283
Iași County,1560
Ilfov County,475
Maramureș County,636
Mehedinți County,344
Mureș County,1055
Neamț County,775
Olt County,447
Prahova County,1023
Satu Mare County,558
Sibiu County,749
Suceava County,1085
Sălaj County,299
Teleorman County,303
Timiș County,1299
Tulcea County,292
Unknown,≤100
Vaslui County,428
Vrancea County,757
Vâlcea County,634
